-9.59,32.08,-2.25
-9.23,31.72,-2.95
-10.50,31.18,-2.43
-9.23,31.36,-2.25
-9.05,32.26,-2.08
-9.41,30.11,-2.08
-7.42,29.21,-1.91
-9.05,29.39,-2.08
-10.32,30.65,-3.29
-9.95,28.50,-1.21
-9.77,31.18,-2.43
-9.95,29.57,-3.99
-10.32,30.29,-2.25
-10.68,30.29,-2.60
-11.40,31.72,-3.99
-10.32,30.65,-2.60
-11.04,29.93,-2.25
-9.95,29.57,-2.25
-9.41,30.47,-3.47
-9.77,30.83,-2.77
-9.05,30.83,-1.39
-9.95,30.29,-1.21
-10.86,31.18,-3.12
-8.51,30.65,-1.56
-9.41,30.83,-1.04
-9.41,31.18,-2.77
-10.32,29.93,-3.29
-10.32,29.93,-3.64
-10.32,30.29,-3.29
-10.50,30.83,-3.47
-11.22,30.11,-2.43
-10.68,29.93,-2.60
-11.22,30.11,-1.39
-10.32,31.01,-2.95
-8.51,29.57,-2.95
-8.87,30.29,-3.29
-10.13,29.75,-1.39
-8.87,31.36,-2.60
-9.41,29.75,-2.77
-8.87,31.36,-2.25
-9.05,30.11,-2.43
-10.68,32.08,-1.56
-9.23,31.36,-3.29
-9.77,30.47,-1.73
-9.41,29.75,-3.12
-8.69,30.47,-2.08
-10.68,29.57,-2.95
-9.59,31.36,-1.91
-10.68,31.01,-1.91
-8.69,30.11,-2.08
-8.87,32.08,-3.29
-9.41,30.11,-2.43
-9.23,31.36,-1.91
-11.22,29.75,-1.73
-9.95,30.65,-2.95
-7.96,30.11,-2.08
-9.77,30.47,-1.04
-9.77,30.83,-3.12
-10.13,31.18,-1.04
-10.68,31.72,-2.25
-10.86,29.75,-1.04
-9.23,29.93,-1.91
-8.33,30.47,-2.43
-10.13,30.11,-1.39
-9.77,30.83,-2.08
-8.87,30.29,-3.99
-8.51,30.29,-2.25
-10.68,29.93,-2.25
-8.87,31.36,-1.91
-9.59,32.08,-1.91
-9.05,28.68,-3.81
-11.40,31.36,-2.25
-8.51,29.57,-0.17
-8.87,29.57,-2.25
-9.41,31.54,-3.47
-8.87,29.93,-2.95
-10.13,32.26,-1.39
-10.32,30.65,-2.60
-9.95,32.08,-0.87
-9.41,30.83,-1.04
-10.86,30.47,-2.77
-9.05,31.54,-4.51
-9.59,31.72,-2.95
-10.68,31.01,-2.95
-9.23,29.57,-0.52
-9.77,29.03,-1.73
-9.95,31.72,-2.25
-8.51,29.21,-1.91
-8.69,31.18,-2.77
-8.51,29.93,-2.25
-10.50,30.83,-1.39
-10.13,31.18,-1.39
-9.41,30.11,-2.08
-9.77,31.18,-1.73
-10.13,30.11,-3.12
-7.42,29.93,-2.25
-7.78,29.57,-2.95
-8.14,30.65,-2.25
-9.95,29.93,-3.29
-10.13,29.39,-3.81
-9.59,30.29,-3.64
-9.41,31.18,-2.43
-10.13,29.75,-3.12
-10.32,30.29,-2.95
-9.77,29.75,-4.51
-9.59,29.57,-2.25
-9.41,29.39,-2.43
-8.33,28.68,-4.16
-9.05,28.32,-2.43
-8.51,27.06,-3.29
-8.69,25.81,-4.51
-8.87,25.99,-3.29
-6.70,25.63,-2.60
-5.61,25.27,-6.07
-4.52,24.55,-5.37
-3.62,24.37,-6.24
-5.61,22.76,-6.41
-4.71,23.30,-4.85
-2.35,22.04,-6.07
-1.99,23.84,-5.72
-3.80,22.76,-7.11
-3.08,22.76,-5.37
-2.35,23.84,-5.03
-2.17,23.30,-5.20
-2.53,24.73,-4.16
-2.53,25.09,-4.85
-3.44,24.55,-5.72
-3.62,25.81,-6.93
-1.99,25.63,-3.99
-2.17,25.45,-5.55
-2.17,25.81,-5.89
-2.71,24.91,-5.72
-1.63,25.27,-4.68
-2.53,24.73,-6.24
-3.26,24.73,-6.93
-1.99,24.20,-7.11
-1.81,26.17,-5.55
-2.90,25.09,-6.59
-3.26,25.09,-5.89
-1.99,24.55,-7.11
-3.08,23.84,-5.37
-2.71,25.63,-6.07
-2.71,24.20,-7.45
-3.08,25.99,-5.37
-3.26,25.45,-6.59
-4.34,26.17,-6.24
-1.81,25.45,-5.89
-1.99,25.99,-7.45
-2.71,26.35,-6.76
-1.09,26.88,-7.28
-0.72,26.17,-5.20
-0.18,26.70,-7.11
0.90,27.78,-6.76
-0.72,26.53,-6.24
0.36,27.24,-8.67
1.27,27.42,-6.76
1.99,27.78,-7.80
3.08,27.78,-8.84
2.90,27.96,-7.63
1.99,28.50,-8.49
2.35,27.42,-8.15
2.71,27.42,-9.54
4.34,28.32,-9.02
5.25,27.78,-9.88
5.25,28.14,-9.54
6.33,28.86,-9.19
4.89,27.78,-9.54
5.97,28.14,-10.58
5.25,27.78,-8.84
5.97,27.06,-10.58
8.33,29.03,-11.44
6.70,31.36,-10.58
5.79,28.68,-12.14
7.24,31.54,-12.48
6.15,30.11,-12.48
5.25,30.65,-11.62
5.25,31.36,-12.66
5.79,31.90,-11.79
3.08,32.44,-10.92
5.07,32.26,-11.79
3.80,31.36,-10.58
3.44,32.08,-10.92
2.35,32.44,-10.23
2.71,33.16,-11.62
3.44,32.08,-9.54
3.44,32.80,-10.23
3.08,34.95,-11.96
3.26,36.20,-9.71
4.34,35.84,-10.75
2.35,37.82,-10.23
3.44,38.53,-9.54
1.99,38.53,-10.23
2.35,38.53,-9.88
1.09,38.71,-9.02
1.09,36.92,-10.06
-1.45,38.35,-11.44
0.36,39.07,-9.71
0.00,38.71,-8.67
-0.72,40.50,-9.71
-2.35,41.04,-10.23
-1.81,40.15,-9.71
-1.63,39.61,-9.88
-1.63,41.04,-8.84
-3.26,41.22,-9.02
-1.45,40.15,-9.71
-2.17,40.86,-9.36
-2.71,39.97,-9.54
-4.16,42.12,-10.23
-3.62,42.30,-10.06
-4.16,41.40,-8.84
-3.80,42.48,-8.49
